Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,SoTA,Save%,CS%,PenSave%,FK,CK,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp%,#OPA,AvgDist
102,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38,38,3420,38,1.05,3.5,71.4,42.1,0,0.03,0.13,1.01,0.28,-0.01,4.18,9.05,46.2,17.6,3.92,36.3,34.4,7.26,37,32.8,9.26,6,0.61,0.37
103,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,34,34,2982,33.1,1.36,4.41,71.2,23.5,25,0.03,0.24,1.27,0.27,0.01,4.98,10.1,49.4,27.4,4.53,29.2,32.1,6.65,31.4,33.4,7.4,4.5,0.69,0.46
104,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,36,36,3177,35.3,1.39,4.31,69.7,27.8,0,0,0.11,1.29,0.28,-0.05,5.21,13.5,38.6,24.1,5.75,38.8,37.1,8.33,50.3,41.3,11.2,10.6,0.71,0.39
105,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29,29,2610,29,1,2.79,69.1,34.5,0,0,0.21,1.08,0.36,0.01,5.34,11.6,46.3,40.1,4.9,23.4,29.3,5.62,38.7,36.6,5.9,15.8,1,0.57
106,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2,2,180,2,2.5,3.5,28.6,0,0,0,0,1.65,0.46,-0.85,6.5,15,43.3,24.5,3,53.1,38.9,6.5,30.8,34.2,7,0,2,9.9
107,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,10,9,885,9.8,2.04,4.49,61.4,22.2,0,0,0.51,1.77,0.33,-0.28,7.86,20.9,37.6,27.3,5,56.3,45.5,7.55,73,55.9,9.29,8.8,0.71,1.39
108,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2,2,180,2,1,3.5,85.7,0,50,0,0.5,1.85,0.29,0.85,4.5,8,56.3,28.5,6.5,12.3,24,12.5,36,30.4,12.5,4,0,5.2
109,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1,1,90,1,1,2,50,0,0,0,0,1,0.5,0,4,9,44.4,43,5,11.6,25.3,6,66.7,53.5,13,7.7,2,13.3
110,Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27,27,2430,27,1.44,3.89,64.8,22.2,0,0,0.19,1.25,0.31,-0.08,6.81,19.1,35.7,28.9,4.26,48.5,40.3,8.11,63,46.4,9,6.6,0.59,0.5
111,Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,17,16,1485,16.5,1.64,4.73,71.8,6.3,0,0,0.24,1.8,0.34,0.16,4.91,14.3,34.3,23,4.18,45.6,39.6,8.61,44.4,36.9,10.2,5.4,0.42,0.78
